sheet,row,izhodisce,IŠČETE PREVOD ZA …?,STE MORDA MISLILI …?,NA PRIMER …,KAJ POMENI V SLOVENŠČINI …,STATUS ,FJK/ZKB,domača naloga,POVEZAVA,proposed_rule_id,proposed_triggers,review_reason
Abecedno,124,štiriročno,a quattro mani,"dva, dve / v dvoje / oba, obe",Pravilnik je bil napisan štiriročno. -> Pravilnik sta napisali dve članici društva. ,Leksem štiriročno se uporablja skoraj izključno na glasbenem področju (igranje klavirja štiriročno).,,,"preveriti, če Loris to že pozna, sicer gre noter",,paronym_štiriročno,štiriročno,source row has domača naloga/review note
Abecedno,128,težko mamilo,droga pesante,"trda droga, trdo mamilo","Skrb vzbujajoče je število odvisnikov od trdih drog.
Režim sponzorira kar 50 odstotkov svetovne produkcije najtrših mamil","Besedni zvezi težka droga ali težko mamilo sta v slo redki. Pogosteje (pribl. 13,5 : 1) se uporabljata besedni zvezi trda droga / trdo mamilo. ",,,"preveriti, če Loris to že pozna, sicer gre noter",,paronym_težko_mamilo,težko mamilo,source row has domača naloga/review note
Abecedno,136,v osebi,in/di persona,"osebno, v živo, iz oči v oči","Največ bomo dosegli, če se oglasimo osebno.",,,,"bi dala samo ""v osebi""",,paronym_v_osebi,v osebi,source row has domača naloga/review note
Abecedno,137,v prisotnosti,in presenza,v živo,Tokrat se bomo po dolgem času sestali v živo.,"V slo se besedna zveva v prisotnosti uporablja v primerih kot ""mladoletni se lahko tekmovanja udeležijo zgolj v prisotnosti (= ob prisotnosti, navzočnosti) staršev"". ",,,"bi dala samo ""v prisotnosti""",,paronym_v_prisotnosti,v prisotnosti,source row has domača naloga/review note
Abecedno,141,ven iz glave,fuori di testa,"biti čudaški, nor; popeniti, ponoreti",,"Besedna zveza ven iz glave je kalk iz italijanščine ('fuori di testa') in se uporablja izključno v lokalnem okolju; govorcem, ki ne znajo italijansko, pomen te besedne zveze ni jasen",,,"že obdelano, treba samo dopolnit",,paronym_ven_iz_glave,ven iz glave,source row has domača naloga/review note
Abecedno,144,z upanjem,con la speranza,v upanju,V upanju na ugodno rešitev pošiljamo prijazen pozdrav.,"Dolge povedi, predvsem v dopisih, v slovenskem kulturnem prostoru niso pogoste. Svetujemo: Upamo na ugodno rešitev. Prijazen pozdrav.",,,"preveriti, če Loris to že pozna, sicer gre noter",,paronym_z_upanjem,z upanjem,source row has domača naloga/review note
Abecedno,149,zapuščanje šole,abbandono scolastico,"osip, izpis",Osip je ena največjih slabosti našega šolskega sistema.,"Zapuščanje šole ni termin, temveč besedna zveza, ki označuje odhajanje iz šolskega poslopja (V primeru požara čim prej zapustite poslopje.).",,x,"že obdelano, treba samo dopolnit",,paronym_zapuščanje_šole,zapuščanje šole,source row has domača naloga/review note
Abecedno,151,"zdole, zdol",,spodaj,,narečno,,,narečno,,paronym_zdole_zdol,zdole | zdol,source row has domača naloga/review note
Abecedno,152,zelena številka,numero verde,brezplačna številka,Za več informacij pokličite na brezplačno številko.,"Zelena številka je kalk iz italijanščine. Govorci in govorke, ki ne znajo italijansko, njenega pomena ne razumejo.",,,"preveriti, če Loris to že pozna, sicer gre noter",,paronym_zelena_številka,zelena številka,source row has domača naloga/review note
Abecedno,153,zeleni teden,,šola v naravi,Otroci se veselijo šole v naravi.,"Zeleni teden je dvakratni kalk: nastal je na podlagi besedne zveze beli teden, ki je kalk italijanske besedne zveze 'settimana bianca'. Govorci in govorke, ki ne znajo italijansko, njenega pomena ne razumejo.",,,"preveriti, če Loris to že pozna, sicer gre noter",,paronym_zeleni_teden,zeleni teden,source row has domača naloga/review note
